명칭,우편번호,주소,위도,경도,개요,문의 및 안내,개장일,쉬는날,이용시간,주차시설,시설정보
개오리오름,63313,제주특별자치도 제주시 명림로 584 (봉개동),33.4397664699,126.6303735575,"개오리오름은 제주시 5.16도로 조랑말 목장 동쪽의 방송중계탑이 설치되어 있는 오름이다. 크고 작은 세 개의 봉우리로 이루어진 다양한 형태를 갖고 있는 복합형 화산체이며, 개오리오름은 주봉(743m)인 송신탑이 서 있는 곳의 오름을 말한다. 족은개오리(664m)는 북쪽에 서향으로 벌어진 말굽형 화구를 갖는 것이고, 가운데에 샛개오리(658m)라 부르는 원추형의 작은 오름이 있다. 전체적으로 두 개의 말굽형 화구를 갖는 복합형이다. 전사면이 낙엽수, 상록수 등이 울창하게 우거진 자연림을 이루고, 일부에 삼나무, 소나무가 있다. 겨울 한동안은 잎이 다 떨어진 회갈색 사면에 층층으로 늘어선 삼나무 대열이 이채롭다. 산 모양이 개오리(가오리)처럼 생겼다는 이름으로 가으리오름, 개워리오름, 개월오름으로 불리기도 한다.",제주관광정보센터 064-740-6000,,,,없음,
갯거리오름(갯그르),63554,제주특별자치도 서귀포시 1100로(대포동),33.3101113892,126.4578470138,"1100 도로변에 위치한 거린사슴 동측으로 이어져 있는 오름으로, 거린사슴과 1100도로의 가파른 고갯길을 사이에 두고 갈리어 있는 별개의 원추형 화산체이다. 거린사슴 중턱의 1100 도로가에서는 운전자들이 쉴 수 있는 간이 휴게공간이 마련되어 있어 제주도 남서부지역의 풍광은 물론 서귀포시에서부터 모슬포 해안까지의 바다경치를 만끽할 수 있는 전망대가 되고 있다. 갯거리오름으로 불리고 있는 오름이 한림읍 명월리 문수동 동쪽에도 있다. 오름 남쪽에 제주 4.3의 역사가 묻어나는 장소로 당시 희생자들이 묻힌 만벵듸 묘역이 있어 추모의 시간을 가져 볼수 있다.",서귀포종합관광안내소 064-732-1330,,,,,
거린사슴,63554,제주특별자치도 서귀포시 1100로 823,33.3073171985,126.4543696003,"거린사슴은 기생화산으로 분화구는 서쪽으로 벌어진 말굽형의 형태이다. 한라산 중턱에 있는 오름 중에 사슴과 관련된 이름으로 지어진 오름 중의 하나이며 실제로 사슴이 살았다고 해서 거린사슴이라 불리고 있으며, 거리다는 갈리다(갈라지다)의 옛말로 오름이 두 개의 봉우리로 갈리어져 있음을 말한다. 1100도로가 오름을 관통하여 지나며 오름의 기슭에는 휴게소 겸 전망대가 만들어져 있다. 이 전망대는 탁 트인 풍경과 서귀포 시내를 한눈에 내려다볼 수 있다. 오름의 전사면 둘레에는 많은 나무가 자라 무성한 숲을 이루며, 동쪽에 갯거리오름이 있고 서귀포 자연휴양림이 위치한다. 거린사슴은 오름 등반, 서귀포 시내 조망, 피톤치드 가득한 숲길 산책까지 일석삼조를 얻을 수 있는 관광지이다.",제주관광정보센터 064-740-6000,,연중무휴,상시 개방,가능,
제주4·3평화공원,63313,제주특별자치도 제주시 명림로 430,33.4498540414,126.6177605342,"제주 4.3평화공원은 4.3사건으로 인한 제주도 민간인 학살과 처절한 삶을 기억하고 추념하며, 화해와 상생의 미래를 열어가기 위한 평화 인권기념공원이다. 제주 4.3평화공원 조성사업은 제주4.3사건에 대한 공동체적 보상의 하나로 이루어졌으며, 4.3특별법 공포(2000), 공원부지 매입, 조성기본계획 연구 용역, 현상공모, 건축공사, 전시물 제작 및 설치 등이 이어져 2008년 3월 28일 개관하게 되었다. 공원 안에는 제주 4.3평화기념관, 위령제단, 위령탑, 봉안관 등이 이곳을 지키고 있다. 위령제단은 연중 4.3 희생자에 대해 참배를 진행하는 곳이며, 그들을 모시고 있는 위패봉안실이 따로 마련되어 있다. 봉안관은 4.3 유해발굴 사업 시기에 발굴된 유해를 봉안하는 장소로 현재 380기가 안치되어 있다. 각 명비원에는 희생자의 성명과 성별, 당시 연령 등을 기록해 두었다. 제주 4.3평화기념관에는 총 6개의 특별 전시관이 있다. 제1관에서는 주민들의 피신처로 활용되었다는 천연동굴을 주제로 한 역사관이 있으며, 제2관에서는 해방과 좌절이라는 주제로 해방 후 3.1절 기념행사에서 사망한 6명의 민간인의 이야기를 담아내고 있다. 제3관에서는 무장봉기와 분단 거부라는 주제로 1948년 4월 3일에 일어난 무장봉기에 대한 이야기가 있고, 제4관에서는 학살에 관한 내용을 다루고 있다. 마지막으로 5관과 6관에서는 진상 규명 운동으로 상처를 극복해 내는 과정과 관람 후의 소감문이 걸려 있다.",064-723-4344,2008년 3월 28일,"기념관 매월 첫째, 셋째주 월요일<br><단, 공휴일(대체공휴일)인 경우에는 그 다음의 첫 번째 비공휴일>",기념관 09:00 - 18:00(입장마감 17:00)<br> 야외 공원 상시개방,"있음(소형 200대, 대형 30대)","주차가능,화장실있음"
제지기오름,63599,제주특별자치도 서귀포시 보목동275-1 (일대),33.241993534,126.609568724,"조면암질 화산암과 일부 화산 쇄설성 퇴적층으로 구성되어 전체적인 모양은 용암원정구의 형태를 띠고 있으며 남사면은 매우 가팔라서 곳곳이 벼랑져 있다. 숲이 덮인 외관으로는 나타나지 않지만 안에 들면 곳곳에 바위가 서 있고 커다란 바위 등이 드러나 있다. 정상부는 나무가 없고 억새며 잡풀이 무성하다. 북사면은 급준하게 솟아 오른 남사면과 달리 비교적 완만한 등성이가 두 가닥으로 뻗어 내리고 그 가랑이진 곳이 각각 서향·북향·북동향으로 우물져 있다. 화구로 보일 만큼의 뚜렷한 형태는 아니다. 옛날 절이 있었던 데서 절 오름, 일명 제지기 오름 또는 제제기 오름이라고도 한다. 제지기(제제기)가 무슨 뜻인지는 분명치 않으나, 절(窟寺)이 있고 이를 지키는 절지기가 살고 있었으므로 절지기 오름이라 불리던 것이 차차 제지기 오름·제제기 오름으로 와전된 것이라고 풀이되어 있다. 어떻든 절이 있었던데 연유한 절 오름이라는 호칭만은 분명하며, 여러 문헌에 절 오름(寺岳)으로 명기돼 있으며 현지 주민들 사이에도 그리 알려져 있다.",제주관광정보센터 064-740-6000,,,,,
월정리해변(월정리해수욕장),63358,제주특별자치도 제주시 구좌읍 해맞이해안로 480-1,33.5546536829,126.7983896767,"제주도의 동쪽에 있는 마을인 월정리는 달이 머문다는 뜻의 이름을 가진 서정적인 풍경의 마을이다. 아름다운 에메랄드빛 바다가 한 폭의 그림처럼 펼쳐져 있고, 그 위에는 밝은 달이 비친다. 풍경화처럼 아름다운 월정리 해변을 방문한 여행객들은 저마다 다양한 방법으로 해변의 경치를 만끽한다. 특히 수심이 얕은 편이기 때문에 아이를 동반한 가족들이 물놀이를 즐기기 좋다. 월정리의 아름다운 풍광이 여행객들 사이에서 점점 유명해질수록 월정리의 해변을 방문하는 사람들이 더욱 늘어났고, 그에 맞춰 다양한 식당과 카페, 숙박시설 등이 많이 들어서 있다. 몇몇 카페는 사람들이 바다를 보며 쉬어갈 수 있도록 의자를 두었는데, 이 의자에 앉아 찍은 사진이 유명해지면서 하나의 포토 스폿이 되기도 했다. 월정리엔 카메라를 들고 제주도 여행의 추억을 담는 사람들의 모습을 쉽게 볼 수 있다. 그 밖에 서핑, 스노클링, 카약 등 다양한 수상 레포츠를 즐기며 보다 더 역동적으로 해변에서의 즐거움을 만끽하는 사람들도 있다. 월정리 해변은 일정한 높이의 파도가 지속해서 들어오기 때문에 서핑을 하기 좋아 서퍼들이 즐겨 찾는다. 제주도 올레길 20코스 [김녕-하도 올레]와 [김녕-월정 지질 트레일 코스]의 일부여서, 뚜벅이 여행객들이 걷다가 바다의 아름다운 풍경과 시원한 바다 내음을 맡으며 쉴 수 있는 아름다운 해변이다.",월정마을회 064-783-5798<br> 종합상황실 064-728-3906~7 (해수욕장 개장기간에만 운영),,,,가능,화장실있음
"거슨세미(세미오름, 샘오름)",63355,제주특별자치도 제주시 구좌읍 송당리 산145,33.4455984117,126.7570624322,"거슨세미오름은 제주시 구좌읍 대천동 사거리에서 송당을 잇는 비자림로로 진입하여 약 2.3Km 지점에 위치해 있다. 이 오름 서남쪽 굼부리(분화구)에는 한라산쪽으로 거슬러 흐르는 샘(세미)이 있어 [거슨세미]라 부른다. 서쪽으로 벌어진 말굽형 오름으로 북쪽에는 안돌오름과 밧돌오름이 있고 남쪽에는 칡오름, 민오름이 있다. 오름 입구에서 왼쪽으로는 샘을 거쳐 정상으로 가는 길, 오른쪽으로는 비자나무 산림욕장, 삼나무와 편백나무 숲길이 이어지는 둘레길과 연결되어 있다. 둘레길은 어린아이와 노약자들도 충분히 탐방이 가능할 만큼 평탄한 구간으로 산책과 함께 산림욕을 즐길 수 있다. 이 곳의 비자나무는 송당리민들이 직접 조림한 것으로 비자나무 열매를 채취하고 판매하여 주민소득 창출의 기회가 되고, 이곳을 찾는 여행자들에겐 멋진 산림욕장을 제공하고 있다.",제주관광정보센터 064-740-6000<br> 구좌읍사무소 064-728-1523,,연중무휴,,가능 (소형 20대),화장실있음
괴오름,63039,제주특별자치도 제주시 애월읍 봉성리 산41(애월읍),33.356088341,126.3754586925,"괴오름은 제주시 애월읍 봉성리에 위치한 오름이다. 북돌아진오름과 이웃한 오름으로 고양이 등처럼 구부러진 모양을 하고 있어서 괴오름이라 부르고 있으며, 북쪽으로 벌어진 말굽형 화구의 굼부리 형태이다. 주요 식생은 잡목으로, 자연림이 울창한 숲을 이루면서 숲그늘 아래에는 새우난, 복수초, 천남성 등이 자생하고, 오름 주변 목장에는 갯취가 분포하고 있다. 지형이 마치 괴(고양이) 모양으로 생겼다는 데서 괴오름 또는 괴미라고 불리었으며, 괴(고양이)는 돝(돼지) 따위와 같이 우리나라 옛말이 제주방언으로 남아있는 예이기도 하다. 주로 북돌아진오름~괴오름~폭낭오름 순으로 트레킹을 한다.",064-740-6000,,,,,
걸시오름,63080,제주특별자치도 제주시 연동 산150(연동),33.4118342447,126.5060849817,"걸시오름은 제주특별자치도 제주시 연동에 있는 오름이다. 오름의 모습이 문빗장으로 쓰이는 ㄱ자형의 걸쇠를 닮았다고 해서 걸시오름, 걸세오름, 걸서오름 등으로 불리고 있다. 말굽형의 화구를 끼고 양쪽 등성이가 길쭉하게 뻗어 내린 것이 U자에 가까운 형태로 침식이 상당히 진행되었고, 한라산 쪽은 새로운 용암에 의해 덮여 있다. 식생은 해송과 삼나무가 주종을 이루고 있어 울창한 숲을 이루고 있으며, 특히 묘지가 많아 대부분이 가족 묘지들로 조성되어 있다. 한라산 국립공원의 원시림 지대와 제주도 중 산간 지대의 전형적인 초지 지대가 만나는 곳으로써 한라산의 수목 한계선이 뚜렷하게 구분되는 지역이며 인위적 요인에 의한 식생의 천이 과정이 잘 나타나고 있기도 하다.",제주관광정보센터 064-740-6000,,연중무휴,상시 개방,불가,
구두리오름,63623,제주특별자치도 서귀포시 표선면 가시리산 158-2,33.4124065362,126.6885413552,"구두리오름은 가시리와 교래리의 경계에 있는 오름으로, 한자어로 ‘구두리(九斗里)’로 쓰이며, ‘구돌악(狗乭岳)’으로도 표기하는데, 모양새가 개(狗)의 머리와 비슷하여 ‘구두악(狗頭岳)’이란 이름이 붙었다고도 한다. 구두리오름은 가는 길은 붉은오름 자연휴양림 입구 맞은편으로 들어가고 산세는 꽤 높은 데다 좁고 가파른 사면을 이루고 있다. 현재 굼부리는 말굽형으로 되어 있지만, 처음에는 원형이었던 것이 한쪽이 침식되면서 말굽 모양으로 변한 것으로 보고 있다. 전사면은 자연림과 조림되어진 삼나무, 측백나무, 소나무 등이 울창하게 자라나고 있으며, 봄철에는 정상에 피어있는 복수초와 노루귀 같은 야생화들을 만날 수 있다.",제주관광정보센터 064-740-6000,,연중무휴,상시 개방,,
어영공원,63114,제주특별자치도 제주시 서해안로 451 (용담삼동),33.5183749384,126.4875702904,"제주도 용두암에서 약 1km 떨어진 곳에 용담해안도로를 따라 길게 만들어진 공원이다. 각종 조명시설을 설치해 해가 지면 어영공원의 야경을 감상하기 좋아 많은 관광객이 찾고 있다. 또한, 제주 올레 17코스에 속한 공원으로 올레꾼들의 발걸음이 끊이지 않고 있다. 낮에도 탁트인 전경과 바로 눈 앞에 펼쳐진 바다, 시원한 바닷바람으로 사람들을 붙잡는다. 어영공원에서는 시원한 풍경과 함께 시도 즐길 수 있다. 공원에 설치된 벤치와 바다 쪽의 방호벽에 유명인들의 시가 이어져 있으며 시와 함께 잔잔한 여운을 남기는 벽화가 그려져 있다. 방호벽 위로 60cm 크기의 어패류 조형물이 세워져 있어, 이것 또한 볼거리이다. 로렐라이 요정상도 눈에 띈다. 독일의 로렐라이시와 제주시가 우정의 상징으로 각각 로렐라이 요정상과 돌하르방을 교환하여 이곳에 세워졌다고 한다.",064-742-8866,,연중무휴,,있음 (약 소형 50대),화장실있음
정물오름,63021,제주특별자치도 제주시 한림읍 금악리산52-1,33.3380257364,126.3302158047,"정물오름(해발 466m)은 제주리 한림읍에 있는 말굽형 화구를 가진 기생화산이다. 오름 동남쪽에 당오름이 이웃해 있다. 오름의 형태는 남서쪽에서 다소 가파르게 솟아올라 꼭대기에서 북서쪽으로 완만하게 뻗어 내린다. 정물오름 서쪽에는 조그만 알오름이 있는데, 이를 [정물알오름]이라 한다. 오름 북서쪽 비탈 아래쪽 기슭에 [정물]이라는 쌍둥이 샘이 있는데 이 샘 이름에서 오름 이름을 따왔다. 제주도는 전국 연평균 강수량에 비해 훨씬 많은 강수량에도 불구하고 마실 물이 귀했다. 이 샘은 물이 깨끗하고 양이 많아 이곳에서 꽤 먼 곳의 중산간마을 사람들도 물을 길러다 마셨다고 한다. 정물오름은 억새뿐 아니라 노을 명소로도 손색이 없는 곳이다. 억새가 아름다운 시기에 일몰시간에 맞춰 이곳을 방문하는 것도 가을 제주 여행 추천 코스로 손꼽아도 부족함이 없다. 오름의 동녘 자락에 있는 들판은 정물오름을 모태로 하여 예로부터 으뜸가는 목장지대로 이용되고 있으며, 오름에는 [개가 가리켜 준 옥녀금차형의 명당터]가 있다는 이야기가 전해지고 있다.",제주관광정보센터 064-740-6000,,,,있음( 약 소형 10대 가능),
제주 청수마을,63006,제주특별자치도 제주시 한경면 대한로 1036(한경면),33.3180683119,126.24757343,"곶자왈이란 세계에서 유일하게 열대 북방한계 식물과 한대 남방한계 식물이 공존하는 제주의 독특한 숲을 말한다. 청수마을이 속한 한경·안덕곶자왈은 애월곶자왈, 조천·함덕곶자왈, 계좌·성산곶자왈과 함께 제주 4대 곶자왈로 꼽힌다. 주민 해설사와 함께 곶자왈을 탐방하는 프로그램으로 인기를 끈다. 육지에서 흔히 보지 못한 구불구불한 수형의 특이한 나무와 이끼로 덮인 울퉁불퉁한 돌을 보느라 눈이 바빠지고 맑은 공기와 숲의 향기를 맡느라 코가 바빠지지만 마음만은 차분해지는 곳이다.",064-772-1303,,,,가능,화장실있음
귤림서원,63194,제주특별자치도 제주시 이도일동1438,33.5060574951,126.5276032002,"귤림서원은 제사 기능을 가진 충암묘와 교육 기능을 가진 장수당이 복합되어 이루어진 서원이다. 1578년(선조 11년)에 제주판관 조인후가 기묘사화로 1520년(중종 15년) 6월, 제주도에 유배되어 사사된 김정의 넋을 위로하기 위하여 그의 적거지에 사묘를 세운 것에서 비롯되었다. 그 후 1660년(현종 1년) 제주목사 이괴가 장수당을 건립하였고, 1667년(현종 8년)에는 제주판관 최진남이 김정의 사묘를 장수당 남쪽인 현재의 오현단 안에 옮겨 짓고, 이를 사로 하고 장수당을 재로 하여 귤림서원이라 현액하였다. 1682년(숙종 8년) 신경윤이 제주목사로 있을 때 예조정량 안건지를 제주도에 파견하여 귤림서원으로 사액을 하고 김정, 송인수, 김상헌, 정온의 4현을 봉향하다가 1696년(숙종 22년)에 이익태 절제사 때 송시열이 추향됨으로써 5현을 배향하게 되었다. 1871년(고종 8년) 서원 철폐령에 의해 폐원되었는데, 1892년(고종 29년) 제주 사람 김의정이 중심이 되어 귤림서원 자리에 오현의 뜻을 후세에 기리고자 조두석을 세우고 제단을 쌓아 제사를 지내기도 하였다. 2000년 이후 귤림서원 복원 작업에 들어간 제주시는 2004년 10월 학생들이 공부하던 장수당과 협문 1채, 돌담 110ｍ 등을 완성한 데 이어, 2007년 8월 향현사 복원을 마무리 지었다. 조선 시대 유학과 유교 문화의 전당으로 제주 유생들의 지주 역할을 하였던 귤림서원이 복원됨으로써 제주 선현의 정신을 되살리는 계기를 마련할 수 있게 되었다.",세계유산본부 064-710-6703,,,,,화장실있음
제주 동백마을,63616,제주특별자치도 서귀포시 남원읍 한신로531번길 22-1,33.3203953813,126.7451829828,"제주특별자치도 서귀포시 남원읍에 중산간 마을로 300년의 역사를 가진 설촌터이자, 도 지정기념물로 지정된 동백나무군락지를 중심으로 동백을 테마로 한 마을사업을 하고 있다. 마을 곳곳에 토종 동백나무와 수령이 300-400년 된 동백나무를 볼 수 있으며, 마을 공동사업으로 운영하는 동백방앗간에서 생산한 100% 동백기름을 판매하고 있으며, 동백이야기를 담은 동백 공예체험, 마을에서 직접 생산한 식용동백기름을 이용한 동백음식체험, 생동백기름을 이용한 천연비누체험도 가능하다. 마을 주민 대부분이 감귤류 농사에 종사하여, 10월 부터 이듬해 3월 까지는 각종 감귤류를 산지에서 구입가능하며, 동백꽃과 더불어 제주중산간 마을의 정취를 만끽할 수 있다.<br>동백마을은 주민 스스로가 동백 숲을 가꾸고 있다. 미래의 후손들에게 아름다운 숲을 물려주고자 노력하고 있다. 동백마을에서 주민들이 가꿔 더욱 아름다운 나무도 보고, 고사리파스타 만들기 체험도 경험해보자.",064-764-8756,,"주말, 공휴일",09:00~17:00,있음,"주차가능,화장실있음"
제주 유수암마을,63067,제주특별자치도 제주시 애월읍 유수암평화길 14(애월읍),33.4413793435,126.4030877096,"유수암마을은 제주공항에서 남서쪽으로 15km 떨어진 지점에 위치하고 있으며 해발 200~250m 높이에 위치한 중산간 마을로서 형제봉(녹고뫼오름) 오름들과 맑게 솟아 흐르는 유수암물, 무환자나무 및 팽나무 군락지와 어우러져 천혜의 자연환경을 갖추고 있는 자연생태우수마을이다. 제주의 특산품인 감귤수확 체험, 귤잼 만들기는 제주도에서만 할 수 있는 체험이며 아이들에게 기억에 남는 추억을 만들어 줄 수 있다.",064-799-2201<br> 064-799-2229,,,,,
용두암,63152,제주특별자치도 제주시 용두암길(제주올레길17코스),33.5158033889,126.5119710049,"제주공항 인근의 북쪽 바닷가에 있는 용두암은 높이 10m가량의 바위로 오랜 세월에 걸쳐 파도와 바람에 씻겨 빚어진 모양이 용의 머리와 닮았다 하여 용두암이라 불린다. 전설에 의하면 용 한 마리가 한라산 신령의 옥구슬을 훔쳐 달아나자 화가 난 한라산 신령이 활을 쏘아 용을 바닷가에 떨어뜨려 몸은 바닷물에 잠기게 하고 머리는 하늘로 향하게 하여 그대로 굳게 했다고 전해진다. 또 다른 전설은 용이 되어 하늘로 올라가는 것이 소원이던 한 마리의 백마가 장수의 손에 잡힌 후, 그 자리에서 바위로 굳어졌다는 전설이 있다.용두암에서 도두항까지 이어지는 용담-도두 해안도로에는 다양한 카페와 맛집이 있어 눈과 입이 즐거운 드라이브도 즐길 수 있다. 제주의 명물로 떠오른 카페촌에서 차를 한잔하고 바닷길을 따라가다 보면 이호 해수욕장과 하귀해변, 애월읍으로 이어진다. 애월읍에서 용두암에 이르는 북제주의 해안도로는 제주 사람들이 가장 많이 찾는 데이트코스이다.",064-728-3917,,연중무휴,상시개방,가능 (공영주차장),화장실있음
용머리해안,63528,제주특별자치도 서귀포시 안덕면 사계리 118-3,33.2338147237,126.3108920241,"용머리 해변은 산방산 앞자락에 있는 바닷가로 산방산 휴게소에서 10여 분 걸어내려가면 수려한 해안절경의 용머리 해안과 마주치게 된다. 수천만 년 동안 쌓이고 쌓여 이루어진 사암층과 파도가 만들어낸 해안 절벽을 감상할 수 있다. 작은 방처럼 움푹 들어간 굴방이나 드넓은 암벽의 침식 지대가 펼쳐져 장관을 연출하고 있으며, 용머리라는 이름은 언덕의 모양이 용이 머리를 들고 바다로 들어가는 모습을 닮았다 하여 붙여졌다. 전설에 의하면 용머리가 왕이 날 훌륭한 형세임을 안 진시황이 호종단을 보내어 용의 꼬리 부분과 잔등 부분을 칼로 끊어 버렸는데 이때 피가 흘러내리고 산방산은 괴로운 울음을 며칠째 계속했다고 한다. 파도가 하얗게 부서지는 바닷가 바로 옆으로 길이 나있으며, 길이 30~50ｍ의 절벽이 마치 물결치듯 굽어져 있다. 높이는 겨우 104ｍ이지만 바다와 직벽을 이루고 있는 명소이다. 해식애 앞쪽으로 좁지만 평탄한 파식대가 발달되어 용머리해안을 일주할 수 있는 탐방로 역할을 하고 있다. 한 바퀴 돌아보는데 30분 정도가 소요되는데, 기상악화나 만조 때에는 위험성이 높아 출입을 금하니 방문 전 미리 관람 가능 시간을 확인하고 가는 것이 좋다. 사암층을 따라 걷다 보면 나오는 해안가 일대에서는 해녀들이 좌판을 깔아 놓고 해산물을 판매하고 있으며 용머리로 들어가는 입구에는 하멜기념비가 서 있다. ※ 조수간만의 영향과 기상악화로 인한 안전문제로 출입통제가 될 수 있으니, 관람당일 입장 통제시간 미리 확인 필요 문의 : 064-794-2940 서귀포시 공영관광지 공식 인스타그램 <a href=""https://www.instagram.com/6sot_official"" target=""_blank"" title=""새창 : 홈페이지로 이동"">https://www.instagram.com/6sot_official</a>",064-760-6321,,연중무휴,09:00~17:00 (16:30 입장마감),"가능(약 소형 100대, 대형 20대 주차가능)","주차가능,화장실있음"
절부암,63009,제주특별자치도 제주시 한경면 용수리4241-5,33.3236386579,126.1669747575,"제주시 한경면 용수리 포구에 사철나무, 후박나무, 동백나무 등 난대식물 군락을 이루고 있는 곳에 절부암이란 바위가 있다. 1981년 8월 26일 제주도 기념물로 지정된 이 바위는 고씨 부인의 절개를 기리고 있는 바위이다. 조선 후기 이 마을의 어부 강사철이 고기잡이를 나갔다가 거센 풍랑으로 변을 당하였다. 그의 처 고씨는 며칠 동안 남편을 찾아 헤매다가 끝내 남편을 찾지 못하자 남편의 뒤를 따르는 것이 도리라 생각하여 소복을 입고 이곳 나무에 목매어 자살하고 말았다. 그러자 홀연히 남편의 시체가 이 바위 밑에 떠올랐으므로 사람들은 감탄하였다 한다. 이를 신통히 여긴 당시 판관 신재우는 고씨가 자결한 바위에 절부암이라는 글귀를 새겨 후대에 기리게 하였다. 또한 관에서는 이들 부부를 합장한 후 그 넋을 위로하고자 이 마을 주민들로 하여금 매년 3월 15일에 제사를 지내도록 하였다.",064-740-6000,,연중개방,,없음,화장실있음
제주공룡랜드,63064,제주특별자치도 제주시 애월읍 광령평화2길 1,33.4428046493,126.4323712429,"제주도 문화유산 1주년에 발맞춰 한·중·일 합작으로 공룡을 테마로 한 가족공원인 “제주공룡랜드”를 2007년 8월 14일에 개장하게 되었다. 중국과학원 고척추생물 및 고인류연구소 (IVPP)의 철저한 고증과 일본 DM사의 기술을 바탕으로 현재까지 발견된 공룡 가운데 가장 큰 공룡인 높이 28m의 브라키오사우루스, 육식공룡 티라노사우루스, 사납기로 유명한 벨로시랩터, 3개의 뿔이 달린 초식공룡 트리케라톱스 등 200여 마리의 다양한 작동과 고정 공룡들이 전시되어 있다. 공원 내부에는 공룡들이 알을 낳고 부화하는 과정 등이 첨단 컴퓨터그래픽으로 재현되고 성대 복원으로 공룡의 생생한 소리도 들을 수 있는 공룡동굴생태 체험관과 과거 공룡들이 살던 시대로의 여행을 테마로 한 3D 입체영화관, 기초과학의 발판인 지구 46억 년 전 희귀 화석, 신생대, 중생대, 고생대의 진품화석광물, 운석, 공룡 골격화석들이 자연사 박물관에 일목 요연하게 전시되어 있다.",제주공룡랜드 064-746-3060,2007년 8월 14일,연중무휴,- 일반(4~10월) 09:30~18:30 - 동절기(11~3월) 09:30~18:00 ※ 매표 가능시간은 마감 1시간 전,있음(버스 30대 / 승용차 120대),"주차가능,화장실있음"
용두암해수랜드,63150,제주특별자치도 제주시 서해안로 630,33.5158588206,126.504568869,"용두암해수랜드는 제주시 해안도로와 용두암 인근에 있는 사우나이다. 야자수로 조경을 둘러 남국의 정취가 물씬 풍기는 해수랜드는 지상 3층, 지하 1층 규모에 넓은 사우나종합시설과 정원 내 전통불한증막, 대형폭포, 이벤트 광장인 낙원의 쉼터, 주차장 등의 시설을 갖춘 대형 목욕 업장이다. 단순히 몸을 씻어내는 목욕이 아니라 휴식과 즐거움이 있는 여가공간을 만들어가고 있다. 각종 미네랄이 풍부한 청정 바닷물을 이용하는 해수사우나와 찜질방에서 피로를 풀 수 있고, 해수랜드에서 내려다보이는 바닷가 절경이 몸과 마음을 즐겁게 한다.",064-742-7000,,연중무휴,05:00~22:00(게르마늄방 20:00),있음(소형 170대 / 대형 10대),"주차가능,화장실있음"
낙타트레킹,63624,제주특별자치도 서귀포시 표선면 번영로 2564-21(포니밸리) 내 낙타트레킹,33.4026812788,126.7786837609,제주도에서 낙타와 가까이서 교감할 수 있는 이색 체험을 할 수 있는 곳이다. 호주 청정지역의 낙타를 국내 최초로 수입하여 제주도의 아름다운 자연경관과 더불어 낙타 트레킹 체험을 할 수 있다. 안전요원이 동행하기 때문에 누구나 쉽고 안전하게 체험이 가능하다. 예약은 패키지 관광 혹은 단체일 때만 가능하다.,064-787-2256,,연중무휴 (우천 시 사전확인 필요),09:00~17:00 (입장마감 16:30),가능,
제이엠그랑블루요트,63543,제주특별자치도 서귀포시 대포로 172-7(대포동),33.2382440357,126.4396057595,"주식회사 제이엠 그랑블루요트는 대포포구에 위치한 요트투어 관광지로 47인승, 44인승 요트를 보유하여 동시에 최대 91명까지 승선이 가능하다.일반투어 소요시간은 1시간으로 대포항에서 출항하여 월평동굴 및 주상절리를 항해하는 차별화된 코스를 운영하고 있다.요트투어를 하는 동안 비경관람, 세일링, 낚시가 가능하다. 계절별 특별메뉴(동절기-어묵, 컵라면/하절기-과일)와 와인, 생맥주, 쿠키, 원두커피가 제공된다.노래방 시설, 화장실 등 편의시설이 완비되어 있다.<br>",064-739-7776,2011년 01월 03일,연중무휴,09:00~18:00<br>※ 항차시간 확인 및 사전예약 필수,있음(대포항 공용주차장),"주차가능,화장실있음"
종달리 해안도로,63638,제주특별자치도 제주시 구좌읍 종달리,33.4861573415,126.899710244,"종달해안도로는 광치기해변에서 시작하는 해맞이해안도로의 일부로 하도해변까지 이르는 길로 약 11.2km이다. 동쪽에 있는 해안도로라서 해맞이라는 이름이 붙었고, 해가 뜰 때도 물론 장관이지만 해가 질 무렵에도 아름다운 하늘과 바다의 색을 뽐낸다. 전동기로는 약 45분, 빠른 걸음으로는 약 2시간 13분, 보통 걸음으로는 3시간 43분 정도가 소요된다. 종달리해안에는 수국이 가득 심어져 있어 5월 말부터 6월 내내 활짝 핀 수국이 가득한 길을 지날 수 있다. 길이 구불구불하여 우도와 성산일출봉이 번갈아 보이며, 종달리 전망대에 올라 주변 풍경을 한눈에 담아보는 것도 좋다. 마지막 지점인 하도해변은 조용한 분위기에 에메랄드 빛을 띠고 있으며, 건너편의 철새 도래지를 바라보며 여유를 느끼기에 제격이다.",제주관광정보센터 064-740-6000,,연중무휴,상시 개방,,
에코그린리조트,63024,제주특별자치도 제주시 한림읍 귀덕6길 94,33.4353143643,126.2914864406,"에코그린리조트는 제주도 한림읍 귀덕리에 위치해 있으며 호텔급 리조트 객실, 실내풀장이 갖춰진 풀빌라를 겸비한 복합형 테마 리조트 & 풀빌라이다. 바다와 한라산이 보이도록 디자인된 객실과 더불어 휴향 리조트로 4계절 내내 비즈니스 미팅, 결혼식, 각종모임은 물론 연인, 가족이 함께 즐기기에 손색이 없다. ※ 별관(그린펜션동)/신축(에코호텔동) 시설 및 가격은 홈페이지 참조",064-796-8333,,,,,
